title,author,genres,description
To Kill a Mockingbird,Harper Lee,"fiction, classic, historical","A young girl in the American South witnesses her father defend a Black man accused of a crime, confronting racial injustice and moral growth."
1984,George Orwell,"fiction, dystopian, science-fiction, classic","In a totalitarian society under constant surveillance, a man begins to question the regime and seeks truth and freedom."
Pride and Prejudice,Jane Austen,"fiction, romance, classic","The spirited Elizabeth Bennet navigates love, class, and family in Regency-era England when she meets the proud Mr. Darcy."
The Great Gatsby,F. Scott Fitzgerald,"fiction, classic, literary","A mysterious millionaire throws lavish parties in 1920s New York, hiding a desperate longing for a lost love."
The Hobbit,J.R.R. Tolkien,"fiction, fantasy, adventure, classic","A reluctant hobbit is swept into an epic quest to reclaim a treasure guarded by a fearsome dragon."
Harry Potter and the Sorcerer's Stone,J.K. Rowling,"fiction, fantasy, adventure, young-adult","An orphaned boy discovers he is a wizard and enters a magical school where he uncovers a dark mystery."
The Catcher in the Rye,J.D. Salinger,"fiction, classic, literary, coming-of-age","A disaffected teenager wanders New York City after being expelled from prep school, reflecting on phoniness and loss."
The Lord of the Rings,J.R.R. Tolkien,"fiction, fantasy, adventure, epic, classic","A young hobbit must carry a powerful ring across a vast world to destroy it and save civilization from darkness."
Brave New World,Aldous Huxley,"fiction, dystopian, science-fiction, classic","In a future society engineered for pleasure and stability, one man questions the cost of a world without pain or freedom."
The Hunger Games,Suzanne Collins,"fiction, dystopian, science-fiction, adventure, young-adult","A teenage girl volunteers as tribute in a televised death match, sparking a rebellion against a tyrannical government."
Dune,Frank Herbert,"fiction, science-fiction, adventure, epic","On a desert planet, a young noble must navigate political intrigue and ancient prophecies to control the most valuable substance in the universe."
The Name of the Wind,Patrick Rothfuss,"fiction, fantasy, adventure, epic","A legendary figure recounts his journey from orphaned street urchin to the most notorious wizard of his age."
Ender's Game,Orson Scott Card,"fiction, science-fiction, adventure, young-adult","A brilliant child is recruited to a military academy in space, trained to lead humanity's war against an alien threat."
The Da Vinci Code,Dan Brown,"fiction, mystery, thriller","A symbologist and a cryptographer race to unravel a trail of clues hidden in the works of Leonardo da Vinci."
Gone Girl,Gillian Flynn,"fiction, mystery, thriller, psychological","When a woman disappears on her wedding anniversary, the investigation reveals dark secrets and shifting truths in a toxic marriage."
The Girl with the Dragon Tattoo,Stieg Larsson,"fiction, mystery, thriller, crime","A journalist and a brilliant hacker investigate a decades-old disappearance on a remote island, uncovering a web of corruption."
And Then There Were None,Agatha Christie,"fiction, mystery, thriller, classic, crime","Ten strangers are lured to an isolated island where they begin dying one by one according to a nursery rhyme."
The Shining,Stephen King,"fiction, horror, thriller, psychological","A family moves into an isolated hotel for the winter, where a sinister presence drives the father toward madness."
It,Stephen King,"fiction, horror, thriller","A group of childhood friends reunite to confront a shape-shifting evil that terrorized their small town decades ago."
